x,y,gra
0,0,5.5
0,2,5.5
0,4,5.5
0,6,5.5
0,8,5.5
0,10,5.5
0,12,5.5
0,14,5.5
0,16,5.4
0,18,5.4
0,20,5.4
0,22,5.4
0,24,5.3
0,26,5.3
0,28,5.3
0,30,5.3
0,32,5.3
0,34,5.3
0,36,5.3
0,38,5.3
0,40,5.3
0,42,5.4
0,44,5.4
0,46,5.4
0,48,5.4
0,50,5.4
0,52,5.5
0,54,5.5
0,56,5.5
0,58,5.6
0,60,5.6
0,62,5.7
0,64,5.8
0,66,5.8
0,68,5.9
0,70,6
0,72,6
0,74,6
0,76,6
0,78,6
0,80,6
0,82,6
0,84,6
0,86,6
0,88,6.1
0,90,6.1
0,92,6.1
0,94,6.1
0,96,6.1
0,98,6
0,100,6
0,102,6
0,104,6
0,106,6
0,108,6
0,110,6
0,112,6
0,114,5.9
0,116,5.9
0,118,5.8
0,120,5.8
0,122,5.7
0,124,5.7
0,126,5.7
0,128,5.6
0,130,5.6
0,132,5.6
0,134,5.5
0,136,5.5
0,138,5.4
0,140,5.4
0,142,5.3
0,144,5.3
0,146,5.2
0,148,5.2
0,150,5.1
0,152,5.1
0,154,5.1
0,156,5.1
0,158,5.2
0,160,5.3
0,162,5.3
0,164,5.4
0,166,5.4
0,168,5.5
0,170,5.5
0,172,5.6
0,174,5.7
0,176,5.7
0,178,5.7
0,180,5.8
0,182,5.8
0,184,5.8
0,186,5.9
0,188,5.9
0,190,6
0,192,6
0,194,6.1
0,196,6.1
0,198,6.2
0,200,6.2
0,202,6.2
0,204,6.2
0,206,6.3
0,208,6.3
0,210,6.3
0,212,6.3
0,214,6.3
0,216,6.3
0,218,6.2
0,220,6.2
0,222,6.2
0,224,6.1
0,226,6.1
0,228,6.1
0,230,6
0,232,6
0,234,5.9
0,236,5.9
0,238,5.8
0,240,5.7
0,242,5.7
0,244,5.6
0,246,5.6
0,248,5.5
0,250,5.4
0,252,5.4
0,254,5.4
0,256,5.4
0,258,5.4
0,260,5.4
0,262,5.4
0,264,5.4
0,266,5.4
0,268,5.4
0,270,5.4
0,272,5.4
0,274,5.4
0,276,5.4
0,278,5.4
0,280,5.5
0,282,5.5
0,284,5.5
0,286,5.5
0,288,5.5
0,290,5.5
0,292,5.5
0,294,5.5
0,296,5.5
0,298,5.6
0,300,5.6
0,302,5.7
0,304,5.7
0,306,5.8
0,308,5.8
0,310,5.9
0,312,5.9
0,314,6
0,316,6.1
0,318,6.1
0,320,6.1
0,322,6.1
0,324,6.1
0,326,6.2
0,328,6.2
0,330,6.2
0,332,6.3
0,334,6.3
0,336,6.3
0,338,6.3
0,340,6.3
0,342,6.3
0,344,6.3
0,346,6.3
0,348,6.3
0,350,6.3
0,352,6.3
0,354,6.3
0,356,6.2
0,358,6.1
0,360,6
0,362,5.9
0,364,5.9
0,366,5.8
0,368,5.7
0,370,5.6
0,372,5.6
0,374,5.5
0,376,5.4
0,378,5.5
0,380,5.5
0,382,5.5
0,384,5.5
0,386,5.5
0,388,5.5
0,390,5.5
0,392,5.6
0,394,5.6
0,396,5.6
0,398,5.6
0,400,5.7
0,402,5.8
0,404,5.8
0,406,5.9
0,408,5.9
0,410,6
0,412,6
0,414,6.1
0,416,6.1
0,418,6.1
0,420,6.1
0,422,6.1
0,424,6.1
0,426,6
0,428,6
0,430,6
0,432,5.9
0,434,5.9
0,436,5.9
0,438,5.8
0,440,5.8
0,442,5.7
0,444,5.6
0,446,5.6
0,448,5.5
0,450,5.4
0,452,5.4
0,454,5.3
0,456,5.2
0,458,5.2
0,460,5.2
0,462,5.1
0,464,5.1
0,466,5.1
0,468,5.1
0,470,5.1
0,472,5.1
0,474,5.1
0,476,5.1
0,478,5.1
0,480,5.1
0,482,5.1
0,484,5.1
0,486,5.1
0,488,5.1
0,490,5.1
0,492,5.1
0,494,5.2
0,496,5.2
0,498,5.2
0,500,5.2
